Region,Source,Year,Data,Unit
ON,All sources,2011,155088.4402,GWh
ON,All sources,2012,154729.9465,GWh
ON,All sources,2013,162377.7825,GWh
ON,All sources,2014,163914.3518,GWh
ON,All sources,2015,159999,GWh
QC,All sources,2005,180472.443,GWh
QC,All sources,2006,180460.96,GWh
QC,All sources,2007,192010.119,GWh
QC,All sources,2008,193731.652,GWh
QC,All sources,2009,196305.704,GWh
QC,All sources,2010,184541.257,GWh
QC,All sources,2011,196500.409,GWh
QC,All sources,2012,200557.996,GWh
QC,All sources,2013,209171.798,GWh
QC,All sources,2014,205687.925,GWh
QC,All sources,2015,208910.969,GWh
NB,All sources,2005,21332.954,GWh
NB,All sources,2006,18467.12,GWh
NB,All sources,2007,17268.835,GWh
NB,All sources,2008,14591.469,GWh
NB,All sources,2009,13458.857,GWh
NB,All sources,2010,11415.745,GWh
NB,All sources,2011,11801.694,GWh
NB,All sources,2012,10288.039,GWh
NB,All sources,2013,15070.042,GWh
NB,All sources,2014,16469.703,GWh
NB,All sources,2015,14378.39984,GWh
NS,All sources,2005,12540.3815,GWh
NS,All sources,2006,11539.2865,GWh
NS,All sources,2007,12676.9195,GWh
NS,All sources,2008,12314.7765,GWh
NS,All sources,2009,11706.9001,GWh
NS,All sources,2010,12067.1161,GWh
NS,All sources,2011,11587.9863,GWh
NS,All sources,2012,11078.885,GWh
NS,All sources,2013,10754.8891,GWh
NS,All sources,2014,11032.5826,GWh
NS,All sources,2015,11028.20875,GWh
PE,All sources,2005,46.417,GWh
PE,All sources,2006,43.777,GWh
PE,All sources,2007,44.732,GWh
PE,All sources,2008,149.989,GWh
PE,All sources,2009,357.064,GWh
PE,All sources,2010,466.478,GWh
PE,All sources,2011,497.604,GWh
PE,All sources,2012,487.13,GWh
PE,All sources,2013,512.076,GWh
PE,All sources,2014,606.99077,GWh
PE,All sources,2015,596.19313,GWh
NF,All sources,2005,42136.351,GWh
NF,All sources,2006,42768.071,GWh
NF,All sources,2007,41583.313,GWh
NF,All sources,2008,43206.685,GWh
NF,All sources,2009,38168.66,GWh
NF,All sources,2010,41742.835,GWh
NF,All sources,2011,41604.016,GWh
NF,All sources,2012,43702.506,GWh
NF,All sources,2013,43077.139,GWh
NF,All sources,2014,41053.968,GWh
NF,All sources,2015,42313.74296,GWh
NWT,All sources,2005,693.2503,GWh
NWT,All sources,2006,686.0093,GWh
NWT,All sources,2007,684.3893,GWh
NWT,All sources,2008,739.4674,GWh
NWT,All sources,2009,642.2045,GWh
NWT,All sources,2010,555.1223,GWh
NWT,All sources,2011,452.5801,GWh
NWT,All sources,2012,447.3971,GWh
NWT,All sources,2013,575.8183,GWh
NWT,All sources,2014,729.1414,GWh
NWT,All sources,2015,717.591776,GWh
YT,All sources,2005,342.859,GWh
YT,All sources,2006,358.452,GWh
YT,All sources,2007,354.287,GWh
YT,All sources,2008,372.178,GWh
YT,All sources,2009,401.66,GWh
YT,All sources,2010,405.397,GWh
YT,All sources,2011,424.934,GWh
