tas,	Year, Month, Country, ISO3, ISO2
18.9561,1939,8,USA,,
15.4845,1939,9,USA,,
7.87777,1939,10,USA,,
-0.106,1939,11,USA,,
-1.5099,1939,12,USA,,
-7.4892,1940,1,USA,,
-3.5382,1940,2,USA,,
0.22968,1940,3,USA,,
6.92934,1940,4,USA,,
12.7851,1940,5,USA,,
17.7355,1940,6,USA,,
20.3262,1940,7,USA,,
19.0935,1940,8,USA,,
15.1043,1940,9,USA,,
9.33818,1940,10,USA,,
-0.1406,1940,11,USA,,
-2.4311,1940,12,USA,,
-5.226,1941,1,USA,,
-2.829,1941,2,USA,,
-0.4846,1941,3,USA,,
7.24356,1941,4,USA,,
13.0838,1941,5,USA,,
17.1485,1941,6,USA,,
19.8819,1941,7,USA,,
19.2245,1941,8,USA,,
14.536,1941,9,USA,,
8.38188,1941,10,USA,,
0.6775,1941,11,USA,,
-2.7842,1941,12,USA,,
-4.5279,1942,1,USA,,
-3.8277,1942,2,USA,,
-0.1726,1942,3,USA,,
7.47556,1942,4,USA,,
12.0124,1942,5,USA,,
17.0152,1942,6,USA,,
20.1536,1942,7,USA,,
18.9485,1942,8,USA,,
14.6387,1942,9,USA,,
8.51476,1942,10,USA,,
0.30908,1942,11,USA,,
-6.0647,1942,12,USA,,
-7.5643,1943,1,USA,,
-2.3648,1943,2,USA,,
-1.1788,1943,3,USA,,
6.78301,1943,4,USA,,
12.0645,1943,5,USA,,
17.5592,1943,6,USA,,
20.1867,1943,7,USA,,
19.2961,1943,8,USA,,
14.2957,1943,9,USA,,
8.37887,1943,10,USA,,
1.19541,1943,11,USA,,
-3.7409,1943,12,USA,,
-4.7115,1944,1,USA,,
-2.5403,1944,2,USA,,
-1.4711,1944,3,USA,,
4.77215,1944,4,USA,,
12.9536,1944,5,USA,,
17.18,1944,6,USA,,
19.6871,1944,7,USA,,
18.7525,1944,8,USA,,
14.6372,1944,9,USA,,
9.0102,1944,10,USA,,
0.56523,1944,11,USA,,
-4.6019,1944,12,USA,,
-4.3721,1945,1,USA,,
-2.8041,1945,2,USA,,
1.47068,1945,3,USA,,
5.23615,1945,4,USA,,
10.6764,1945,5,USA,,
15.6571,1945,6,USA,,
19.5339,1945,7,USA,,
18.7201,1945,8,USA,,
14.5632,1945,9,USA,,
8.07353,1945,10,USA,,
-0.5315,1945,11,USA,,
-5.779,1945,12,USA,,
-4.6848,1946,1,USA,,
-3.6231,1946,2,USA,,
1.25837,1946,3,USA,,
7.06272,1946,4,USA,,
11.471,1946,5,USA,,
17.2961,1946,6,USA,,
20.2277,1946,7,USA,,
18.2411,1946,8,USA,,
14.3412,1946,9,USA,,
8.3206,1946,10,USA,,
-0.0184,1946,11,USA,,
-4.4221,1946,12,USA,,
-6.7969,1947,1,USA,,
-4.628,1947,2,USA,,
-0.9812,1947,3,USA,,
6.0022,1947,4,USA,,
12.1664,1947,5,USA,,
16.2251,1947,6,USA,,
19.7898,1947,7,USA,,
19.4963,1947,8,USA,,
15.0369,1947,9,USA,,
10.0258,1947,10,USA,,
-0.0752,1947,11,USA,,
-3.3529,1947,12,USA,,
-6.453,1948,1,USA,,
-5.2428,1948,2,USA,,
-1.5298,1948,3,USA,,
6.76532,1948,4,USA,,
11.8841,1948,5,USA,,
17.2885,1948,6,USA,,
19.5878,1948,7,USA,,
18.5159,1948,8,USA,,
14.7224,1948,9,USA,,
7.5373,1948,10,USA,,
-0.2988,1948,11,USA,,
-5.5963,1948,12,USA,,
-7.2517,1949,1,USA,,
-5.7187,1949,2,USA,,
0.8608,1949,3,USA,,
5.63263,1949,4,USA,,
12.2667,1949,5,USA,,
16.9113,1949,6,USA,,
20.0928,1949,7,USA,,
19.0663,1949,8,USA,,
14.5735,1949,9,USA,,
8.41684,1949,10,USA,,
3.18174,1949,11,USA,,
-4.6789,1949,12,USA,,
-5.4274,1950,1,USA,,
-4.9225,1950,2,USA,,
-0.3823,1950,3,USA,,
5.05198,1950,4,USA,,
11.6804,1950,5,USA,,
16.856,1950,6,USA,,
19.0875,1950,7,USA,,
18.352,1950,8,USA,,
14.3031,1950,9,USA,,
9.69098,1950,10,USA,,
-0.0959,1950,11,USA,,
-4.1352,1950,12,USA,,
-7.1552,1951,1,USA,,
-4.134,1951,2,USA,,
-2.3982,1951,3,USA,,
6.00249,1951,4,USA,,
12.648,1951,5,USA,,
16.3639,1951,6,USA,,
20.0496,1951,7,USA,,
18.9903,1951,8,USA,,
14.3568,1951,9,USA,,
7.81682,1951,10,USA,,
-0.0923,1951,11,USA,,
-5.2579,1951,12,USA,,
-6.0308,1952,1,USA,,
-3.4478,1952,2,USA,,
-1.7132,1952,3,USA,,
5.91375,1952,4,USA,,
11.5081,1952,5,USA,,
17.8861,1952,6,USA,,
20.0799,1952,7,USA,,
19.0793,1952,8,USA,,
14.8622,1952,9,USA,,
8.04632,1952,10,USA,,
1.29114,1952,11,USA,,
-3.7,1952,12,USA,,
-4.2111,1953,1,USA,,
-2.9403,1953,2,USA,,
0.4705,1953,3,USA,,
5.59967,1953,4,USA,,
11.9769,1953,5,USA,,
18.1052,1953,6,USA,,
20.3488,1953,7,USA,,
18.9589,1953,8,USA,,
15.2053,1953,9,USA,,
8.81292,1953,10,USA,,
1.5674,1953,11,USA,,
-3.7251,1953,12,USA,,
-6.3382,1954,1,USA,,
-2.1905,1954,2,USA,,
-0.5912,1954,3,USA,,
7.0416,1954,4,USA,,
11.6953,1954,5,USA,,
17.2968,1954,6,USA,,
20.4832,1954,7,USA,,
19.1074,1954,8,USA,,
15.2741,1954,9,USA,,
8.84241,1954,10,USA,,
2.43911,1954,11,USA,,
-5.3089,1954,12,USA,,
-5.3411,1955,1,USA,,
-6.2313,1955,2,USA,,
-0.7742,1955,3,USA,,
6.15775,1955,4,USA,,
12.3399,1955,5,USA,,
16.032,1955,6,USA,,
20.4006,1955,7,USA,,
19.3979,1955,8,USA,,
14.9245,1955,9,USA,,
8.05271,1955,10,USA,,
-2.4415,1955,11,USA,,
-5.5207,1955,12,USA,,
-6.534,1956,1,USA,,
-5.7972,1956,2,USA,,
-0.6637,1956,3,USA,,
5.28151,1956,4,USA,,
12.8092,1956,5,USA,,
17.7645,1956,6,USA,,
19.7135,1956,7,USA,,
18.6111,1956,8,USA,,
14.5126,1956,9,USA,,
8.09267,1956,10,USA,,
-1.2307,1956,11,USA,,
-4.4852,1956,12,USA,,
-6.2049,1957,1,USA,,
-2.6841,1957,2,USA,,
0.43523,1957,3,USA,,
6.51212,1957,4,USA,,
12.1375,1957,5,USA,,
17.7462,1957,6,USA,,
20.2886,1957,7,USA,,
19.2466,1957,8,USA,,
14.3898,1957,9,USA,,
7.63393,1957,10,USA,,
0.9617,1957,11,USA,,
-3.6762,1957,12,USA,,
-4.8698,1958,1,USA,,
-4.4486,1958,2,USA,,
-0.5735,1958,3,USA,,
6.35967,1958,4,USA,,
13.1012,1958,5,USA,,
17.2594,1958,6,USA,,
19.721,1958,7,USA,,
19.6132,1958,8,USA,,
14.9057,1958,9,USA,,
7.7539,1958,10,USA,,
1.03277,1958,11,USA,,
-4.6111,1958,12,USA,,
-6.8094,1959,1,USA,,
-3.4891,1959,2,USA,,
-1.6223,1959,3,USA,,
5.77298,1959,4,USA,,
12.4799,1959,5,USA,,
18.0195,1959,6,USA,,
19.5325,1959,7,USA,,
19.4196,1959,8,USA,,
14.5036,1959,9,USA,,
7.47293,1959,10,USA,,
-0.669,1959,11,USA,,
-3.7684,1959,12,USA,,
-6.081,1960,1,USA,,
-4.4129,1960,2,USA,,
-2.4881,1960,3,USA,,
5.96252,1960,4,USA,,
12.2033,1960,5,USA,,
17.1734,1960,6,USA,,
20.0585,1960,7,USA,,
18.8526,1960,8,USA,,
14.9539,1960,9,USA,,
8.31253,1960,10,USA,,
0.53121,1960,11,USA,,
-3.9847,1960,12,USA,,
-5.2146,1961,1,USA,,
-3.214,1961,2,USA,,
-0.1508,1961,3,USA,,
4.52072,1961,4,USA,,
11.8612,1961,5,USA,,
17.5741,1961,6,USA,,
19.6138,1961,7,USA,,
